,year,code,name,team_size,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions,winner,country_id,top_5,top_10,top_15,top_25,top_50,top_100,next_year_winner,next_year_top_5,next_year_top_10,next_year_top_15,next_year_top_25,next_year_top_50,next_year_top_100,total_wins,total_gold,total_silver,total_bronze,min_rank,max_rank,average_rank,average_rank_2,recent_wins_2,average_rank_3,recent_wins_3,average_rank_4,recent_wins_4
0,2011,CHN,People's Republic of China,6,189,1,6,0,0,0,1,0,1,1,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2012,CHN,People's Republic of China,6,195,2,5,0,1,0,0,0,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,11,0,1,1,2,1.5,1.5,3.0,0.0,0.0,0.0,0.0
2,2013,CHN,People's Republic of China,6,208,1,5,1,0,0,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,16,1,1,1,2,1.3333333333333333,1.5,3.0,1.3333333333333333,4.0,0.0,0.0
3,2014,CHN,People's Republic of China,6,201,1,5,1,0,0,1,0,1,1,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3,21,2,1,1,2,1.25,1.0,2.0,1.3333333333333333,4.0,1.25,5.0
4,2015,CHN,People's Republic of China,6,181,2,4,2,0,0,0,0,1,1,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3,25,4,1,1,2,1.4,1.5,3.0,1.3333333333333333,4.0,1.5,6.0
5,2016,CHN,People's Republic of China,6,204,3,4,2,0,0,0,0,1,1,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3,29,6,1,1,3,1.6666666666666667,2.5,5.0,2.0,6.0,1.75,7.0
6,2017,CHN,People's Republic of China,6,159,2,5,1,0,0,0,0,1,1,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3,34,7,1,1,3,1.7142857142857142,2.5,5.0,2.3333333333333335,7.0,2.0,8.0
7,2018,CHN,People's Republic of China,6,199,3,4,2,0,0,0,0,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,3,38,9,1,1,3,1.875,2.5,5.0,2.6666666666666665,8.0,2.5,10.0
8,2019,CHN,People's Republic of China,6,227,1,6,0,0,0,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,4,44,9,1,1,3,1.7777777777777777,2.0,4.0,2.0,6.0,2.25,9.0
9,2020,CHN,People's Republic of China,6,215,1,5,1,0,0,1,0,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5,49,10,1,1,3,1.7,1.0,2.0,1.6666666666666667,5.0,1.75,7.0
